"product_id","product_name","description","base_price","discount","unit","stock","product_image","seller_id","status"
"1","Whiskas Adult Cat Food(Tuna)","Weight : 3kg
Origin: Thailand
WHISKAS cat food is complete and balanced, specially designed to fulfill your cat’s needs at every life stage. 
","350","6","kg","100","image_1702922406023.png","1","Published"
"2","SmartHeart Adult Cat Food (Tuna & Shrimp)","Weight: 7 kg
Origin: USA
SmartHeart Cat Food with Tuna & Shrimp is made from real meat and real fish and contains DHA (from fish oil) and choline (from lesitin) for your cat's enhanced brain development and nervous system function","5640","8","kg","50","image_1702923706369.png","1","Published"
"3","Spectrum Kitten Food (Chicken)","Weight: 2 kg
Origin: Malaysia
Spectrum Kitten Food (Chicken)  supplies all the essential nutrients required for the kitten to live a healthy life. Please serve on daily basis of 1 pack/ 1Kg of body weight. ","250","5","kg","150","image_1702924586153.png","1","Published"
"4","Purina Alpo Adult Dog Food (Chicken & Tuna)","Weight: 4kg
Origin: Thailand
Purina Alpo Adult Dog Food  is a high-quality dog food specially formulated for adult dogs of all breeds. This food contains all the essential nutrients that a dog needs to maintain its health and energy levels.","2600","5","kg","80","image_1702925182615.png","1","Published"
"5","Ok Fish Food ","Weight: 100 gm
Origin: India
OK Fish Food is a type of fish feed specially formulated to provide balanced nutrition for various types of aquarium fish. ","150","14","gm","150","image_1702926266930.png","1","Published"
"6","Taiyo Color Flake Fish Food","Weight: 25gm
Origin: Taiwan
Taiyo Color Flake Fish Food is a premium fish feed that is specially formulated to enhance the coloration of aquarium fish.","285","55","gm","119","image_1702926919072.png","1","Published"
"7","Ultima Micro Pallete Fish Food","Weight: 50gm
Origin: India
Ultima Micro Pellet Fish Food is a high-quality fish feed designed to provide complete and balanced nutrition for all types of aquarium fish.","119","15","gm","20","image_1702927194932.png","1","Published"
"8","Dano Daily Pushti Milk Powder","Weight: 500gm
Origin: Denmark
This skimmed milk infused with vegetable fat is the most popular powder milk brand in Bangladesh, reaching over one-third of total households in a year. ","380","0","gm","80","image_1702930741182.png","1","Published"
"9","Marks Milk Powder Tin","Weight: 1kg
Origin: Australia
MARKS Full Cream Milk Powder is nutritious and contains all the goodness of cow’s milk. MARKS is sourced from renowned milk producer of Australia.","1100","2","kg","18","image_1702930879540.png","1","Published"
"10","Pran UHT Milk","Weight: 500 ml
Origin: Bangladesh
UHT Milk is one of the most popular milks to the people who wants to maintain a balanced and healthy life.Pran UHT Milk gives us a proper combination of nutrition and good taste.","55","0","mili litre","60","image_1702931147003.png","1","Published"
"11","Goodlife Mozzarella Cheese","Weight: 200 gm
Origin: Denmark
Goodlife Mozzarella Cheese comes from the fresh milk and perfect for making pizza, pasta anything!","225","3","gm","67","image_1702931570289.png","1","Published"
"12","Aarong Dairy Austagram Cheese","Weight: 200gm
Origin: Bangladesh
Manuacturer: Aarong dairy
Austagram Cheese is a white, salty, semi-hard indigenous cheese. Common salt is an important constituent of this cheese for its role in preservation.","190","2","gm","78","image_1702931654202.png","1","Published"
"13","Paragon Omega 3+  Eggs(Chicken)","Amount: 12 pcs
Fresh Chicken Eggs for fulfilling daily nutrients","265","3","piece","45","image_1702932284081.png","1","Published"
"14","Quail Eggs","Amount: 20 pcs
Egg Weight (Per Pc): 10-15 gm
Locally sourced, Quail eggs are packed with vitamins and minerals. Even with their small size, their nutritional value is three to four times greater than chicken eggs.Quail eggs are low in calories.","85","7","piece","34","image_1702932412128.png","1","Published"
"15","Parachute Advansed Onion Enriched Coconut Hair Growth Oil","Weight: 200 ml
Origin: Bangladesh
 Parachute Advanced Enriched Coconut Hair oil - is a hair growth oil, enriched with Natural onion extracts that promote the natural growth of hair. ","195","3","mili litre","56","image_1702933699773.png","1","Published"
"16","Revlon Brown Black (2N)","Weight: 40 ml
Elevate your hair to a stunning and lustrous Brown Black shade with Revlon Brown Black (2N) Hair Color. ","520","5","mili litre","23","image_1702933797555.png","1","Published"
"17","Sunsilk Shampoo Hair Fall Solution","Weight: 170 ml
Sunsilk Hairfall Solution shampoo, for hair so strong it fights the loss!
 now say no to hair fall with Sunsilk Hairfall^ Solution shampoo and have your hair always on your side. Start Shopping Now!","230","2","mili litre","56","image_1702933922956.png","1","Published"
"18","Whisper Ultra Clean Wings Sanitary Napkin XL","Amount: 15 pcs per packet
Whisper Ultra Clean is our No 1 Hygienic Protection Range, now with Herbal Oil and locks not just wetness but also odour.","340","4","piece","78","image_1702934057349.png","1","Published"
"19","ACI Freedom Heavy Flow Sanitary Napkin 8 pads","Amount: 8 pcs per packet
It has the Super Absorbent Polymer (SAP) that absorbs a large volume of fluid instantly, converts fluid into GEL, locks inside the pad, and ultimately ensures maximum dry-feel and protection.","110","3","piece","67","image_1702934140133.png","1","Published"
"20","Glow & Lovely Instaglow Facewash with Multivitamins","Weight: 50gm
Presenting Glow & Lovely Instaglow face wash Enriched with multivitamin like Vitamin B3, C & E, to give you an instant glow. Deep* cleanses to remove dirt and pollution from deep* within your skin with every wash. ","95","5","gm","90","image_1702934267170.png","1","Published"
"21","Pond's Face Wash Bright Beauty","Weight: 100 gm
New and improved Pond's White Beauty Face Wash. 1st ever facewash with Double Brightening Action to renew your complexion every day.","200","5","gm","67","image_1702934394347.png","1","Published"
"22","Clean & Clear Foaming Face Wash","Weight: 200 gm
Clean & Clear Foaming Face Wash is a specially designed face wash for oily skin. Meant for daily use, the oily skin face wash is formulated with ingredients that work to remove dirt and excess oil with its foaming action.","280","4","gm","23","image_1702934531837.png","1","Published"
"23","Gillette Classic Regular Pre Shave Foam","Weight: 196 gm
Go ahead and get foamy with the rich creamy lather of Gillette Foamy Regular Shave Foam. With an extra thick consistency for a shave that's smooth and comfortable. ","460","3","gm","78","image_1702935511144.png","1","Published"
"24","Nivea Men Sensitive Cooling After Shave Splash","Weight: 100ml
Use Nivea Men Sensitive Cooling After Shave Splash after the shaving which smoothens you skin and moisturizes it","350","5","mili litre","34","image_1702935677999.png","1","Published"
"25","Nivea Sensitive Cooling Shaving Gel","Weight:200ml
 This gives you Irritation- free and comfortable feeling skin.Skin compatibility dermatologically approved by men with sensitive skin.

","590","0","mili litre","23","image_1702935810959.png","1","Published"
"26","Nivea Men Fresh Active Body Spray","Weight: 150ml
The fresh masculine fragrance and ocean extracts keep you fresh for longer
 Anti-bacterial actives help in body odour-control.","425","6","mili litre","34","image_1702936012356.png","1","Published"
"27","Malibu Playboy 24h Deodorant Body Spray","Weight:150 ml
Malibu Playboy 24h Deodorant Body Spray provides you gentle masculine smell all day long and keeps you fresh and attractive .
","440","9","mili litre","56","image_1702936165650.png","1","Published"
"28","Nivea Men Fresh Active Deodorant","We5ght- 50 ml
Beat the heat with the NIVEA Men Fresh Active Roll On. With refreshing tones of ocean extracts, stay fresh, stay active this summer. The masculine fragrance keeps you fresh and confident all day ","420","10","mili litre","56","image_1702936285545.png","1","Published"
